WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN
13.67,0,0.2,0,9.5,0,3.7
11.5,0,5.1,0,7.2,0,4.2
11.25,0,0.4,0,5.5,0,0.5
8.63,0,0.2,0,5.6,0,0.4
11.92,0,10.4,0,7.2,1,-1.5
10.67,0,0,0,6.5,0,1.2
9.17,0,1.9,0,9.2,1,-2.4
14.29,0,0,0,6.6,0,3.1
8.04,0,8.3,0,6.8,0,2.4
11.42,0,0,0,6.5,0,3
7.54,0,0.5,0,10,1,-3.1
15.54,0,6,0,12.2,1,-3.3
4.63,0,0,0,13.1,0,5.5
3.08,0,0,0,5.6,1,-3.2
2.5,0,0,0,4.4,1,-5
9.25,0,0,0,4.6,1,-4.2
13.42,0,2,0,9.3,0,3.2
17.83,0,8.4,0,10.1,0,4.3
3.71,0,0.9,0,6.6,0,1.6
3.17,0,21.5,0,9.3,1,-0.6
8.04,0,0.2,0,10.1,0,1.6
9.38,0,0.3,0,6.5,0,5.5
13.7,0,0,0,6.5,0,5.5
20.38,0,9.5,0,5.3,0,3.4
9.25,0,0,0,4.3,0,2.2
14.33,0,0.7,0,13,0,2.2
16.79,0,1.5,0,12.3,0,3.7
12.25,0,2.8,0,12,0,4.8
22,0,6.2,0,12.6,0,4.4
14.5,0,1.4,0,7.8,0,3.7
14.88,0,4.7,0,7.2,0,2.1
10.17,0,2.1,0,8.7,0,1
10.88,0,0.1,0,8.1,0,1
8.5,0,4,0,8.1,1,-0.6
12.54,0,5.7,0,11.3,0,0
13.96,0,8.6,0,13.5,0,4.7
19.17,0,0.5,0,7.8,0,2.1
14.21,0,0.3,0,11.6,0,3.2
16.5,0,4.4,0,14.6,0,4.4
14.37,0,0.3,0,11.7,0,6.4
11.08,0,0.8,0,10.7,0,7.3
17.5,0,3.5,0,11.3,0,7.3
11.71,0,0,0,15.5,0,7.1
16.08,0,0,0,12.7,0,8.8
15.46,0,0,0,13.3,0,10
5.17,0,0,0,13.8,0,2.5
3.42,0,0,0,12.1,0,2.5
6.17,0,0,0,11.7,0,4.4
10.88,0,0,0,13.3,0,6
9.62,0,0,0,14.5,0,8.2
7.25,0,0,0,13.1,0,5.3
3.75,0,0,0,8.6,0,4.7
8.25,0,0,0,7.5,0,5.1
16.38,0,4.6,0,8.8,0,5.1
8.17,0,0.7,0,11,0,6.1
13.08,0,3.2,0,9.8,0,2.7
21.17,0,2.1,0,14.5,0,5.2
12.75,0,3.1,0,10.1,0,4.8
14.75,0,1,0,10.6,0,3.8
10.25,0,0.7,0,12.7,0,8.1
10.88,0,0,0,12.2,0,7.2
11.29,0,0,0,12.2,0,3
6.21,0,0,0,11.8,0,2.8
5.5,0,0,0,17.2,0,0
2.83,0,0,0,14.4,0,4.3
3.63,0,0,0,14.7,0,6
1.71,0,0,0,15.1,0,4.4
3.75,0,0,0,14.2,0,6.1
8.79,0,0,0,11.8,0,6.7
10.34,0,0,0,14.6,0,5.7
17.12,0,0.1,0,13.4,0,4.8
13.96,0,0,0,15.5,0,10.5
8.12,0,0,0,15.5,0,9.5
11.54,0,0,0,16.2,0,7.1
2.75,0,0,0,18.8,0,2.2
13,0,0,0,9.7,0,2.1
13.17,0,0.5,0,10.2,0,2.8
7.75,0,0,2,9.6,0,3.3
15.41,0,0,0,11.8,0,2.3
8.17,0,0,0,10.3,0,1.7
8,0,0,0,12.7,0,3.1
10.88,0,0,0,9.4,0,5.5
8.46,0,0,0,14.5,0,6.1
10.75,0,0,0,12.2,0,3.2
13.75,0,0.3,0,11.8,0,8.4
6.75,0,0,0,11.7,1,-0.8
10.88,0,1.1,0,13.3,0,0.4
16.62,0,1.8,0,14.7,2,7.5
14.79,0,1.8,0,13.8,0,9.5
11.92,0,1.1,0,14.5,0,7.1
11.67,0,2.5,0,13.7,0,8.8
5.25,0,0,0,10.3,0,5.2
5.5,0,2.6,0,6.6,0,3.4
6,0,9.6,0,10.8,0,3.8
9.25,0,4.2,0,14.3,0,4.7
5,0,0,0,11.8,0,8
5.33,0,0,0,10.2,0,1.1
8.71,0,8.1,0,12.1,0,3.8
9.96,0,1.9,0,12,0,8.8
5.21,0,1.9,0,14.4,0,9.4
5.66,0,5.8,0,16.1,0,3.7
6.54,0,7.8,0,13.7,0,10.4
8,0,0.1,0,15,0,9
4.29,0,0.5,0,14.6,0,7
2.46,0,0,0,12.7,0,3.4
2.88,0,0,0,12.2,0,2.3
4.46,0,0,0,15.5,0,3.8
5.66,0,0.2,0,10.7,0,6.7
12.96,0,3.7,0,11.6,0,7.6
12.25,0,1,0,12.4,0,7.5
9.5,0,3.6,0,16.4,0,8.4
7.46,0,11,0,12.6,0,9.3
10.71,0,1.8,0,12.8,0,6.7
5.25,0,2.8,0,13.8,0,2.4
13.75,0,17.2,0,12.8,0,7.7
6,0,0,0,16.2,0,6.7
6.25,0,0,0,16.8,0,7.2
2.67,0,0,0,15.5,0,2.7
4.04,0,4,0,15.7,0,7.1
5.09,0,1.6,0,16.5,0,9
9.96,0,7.3,0,19.2,0,8.2
10.46,0,3.4,0,13,0,7.7
9.5,0,0.4,0,15.5,0,7.4
5.96,0,2,0,16.7,0,10.5
9.13,0,0.7,0,16.1,0,6.2
16.83,0,0.8,0,15.5,0,9.2
18.21,0,2.3,0,13.3,0,6.8
18.58,0,0,0,15,0,7.2
7.25,0,0,0,16.7,0,5.4
3.33,0,0,0,17.1,0,2.1
3.67,0,0,0,19.7,0,2.2
5.17,0,0,0,19.8,0,6.5
5.21,0,0.2,0,22.1,0,5.1
10.04,0,1.4,0,15.7,0,10.2
5.91,0,0,0,14.7,0,9
8.38,0,0,0,13.1,0,8.8
5.83,0,0,0,13.4,0,3
5.04,0,0,0,12.7,0,4.3
6.83,0,0,0,14.6,0,5
4.71,0,0,0,14.7,0,9
3.17,0,0,0,15.2,0,3.4
2.42,0,0,0,14.4,0,6.2
3.13,0,0,0,14.5,0,9.4
4,0,0.2,0,14.6,0,10.4
6.79,0,1.6,0,12.7,0,8.1
9.33,0,0,0,10.6,0,4.6
4.92,0,0,0,12.5,0,3.2
5.41,0,0,0,14,0,1
11.71,0,1.8,0,13.3,0,9.2
5.83,0,0,0,14.2,0,10
6.58,0,0,0,17,0,7.8
9.75,0,0,0,17,0,5
7.92,0,0,0,17.8,0,10.5
10.41,0,0,0,18.7,0,11.7
6.21,0,0,0,20.8,0,11.3
3.42,0,9.4,2,17,0,12.7
4.21,0,0.3,0,16.7,0,11.5
8.17,0,4.8,0,17.7,0,8.8
9.54,0,0.7,0,15.5,0,7.6
8.29,0,1.8,0,17.2,0,6.1
9.71,0,1.6,0,15.7,0,10.4
6.25,0,3.6,0,16.6,0,9
